TICKER,DATE,TIME,LAST,VOL,ACTION
NVDA,241121,70000,143.45,100,SELL
NVDA,241121,70000,143.45,500,SELL
NVDA,241121,70000,143.38,100,SELL
NVDA,241121,70006,143.45,250,BUY
NVDA,241121,70008,143.45,100,SELL
NVDA,241121,70009,143.47,250,BUY
NVDA,241121,70014,143.45,250,SELL
NVDA,241121,70015,143.48,250,BUY
NVDA,241121,70016,143.5,250,BUY
NVDA,241121,70028,143.3,100,SELL
NVDA,241121,70029,143.3,200,SELL
NVDA,241121,70029,143.3,100,SELL
NVDA,241121,70032,143.4,198,BUY
NVDA,241121,70035,143.4,128,SELL
NVDA,241121,70036,143.39,248,SELL
NVDA,241121,70042,143.33,250,SELL
NVDA,241121,70042,143.33,900,SELL
NVDA,241121,70043,143.35,200,SELL
NVDA,241121,70044,143.34,100,SELL
NVDA,241121,70044,143.34,100,SELL
NVDA,241121,70046,143.35,250,SELL
NVDA,241121,70046,143.35,220,SELL
NVDA,241121,70048,143.35,208,SELL
NVDA,241121,70049,143.33,250,SELL
NVDA,241121,70053,143.35,200,SELL
NVDA,241121,70058,143.39,199,SELL
NVDA,241121,70100,143.35,300,SELL
TSLA,241121,70101,340.68,339,BUY
NVDA,241121,70103,143.49,250,BUY
NVDA,241121,70110,143.5,250,BUY
NVDA,241121,70111,143.53,198,SELL
NVDA,241121,70112,143.55,500,BUY
NVDA,241121,70112,143.55,250,SELL
NVDA,241121,70121,143.55,250,SELL
NVDA,241121,70125,143.6,250,SELL
NVDA,241121,70125,143.6,100,SELL
NVDA,241121,70125,143.6,100,SELL
NVDA,241121,70125,143.6,100,SELL
NVDA,241121,70126,143.6,200,SELL
NVDA,241121,70129,143.6,100,SELL
NVDA,241121,70129,143.6,119,SELL
NVDA,241121,70130,143.6,200,SELL
NVDA,241121,70130,143.6,300,SELL
NVDA,241121,70132,143.6,100,SELL
NVDA,241121,70132,143.6,283,SELL
NVDA,241121,70132,143.6,100,SELL
NVDA,241121,70132,143.6,100,SELL
NVDA,241121,70132,143.6,100,SELL
NVDA,241121,70132,143.6,117,SELL
NVDA,241121,70207,143.8,1000,BUY
NVDA,241121,70208,143.78,100,SELL
NVDA,241121,70208,143.77,100,SELL
NVDA,241121,70213,143.83,180,SELL
NVDA,241121,70224,143.88,244,SELL
NVDA,241121,70230,144.0,100,SELL
NVDA,241121,70230,144.0,150,SELL
NVDA,241121,70231,144.0,100,SELL
NVDA,241121,70231,144.0,100,SELL
NVDA,241121,70231,144.0,100,SELL
NVDA,241121,70231,144.0,100,SELL
NVDA,241121,70231,144.0,100,SELL
NVDA,241121,70231,144.0,100,SELL
NVDA,241121,70247,144.09,1000,BUY
NVDA,241121,70253,144.11,120,SELL
NVDA,241121,70300,144.15,112,SELL
NVDA,241121,70300,144.15,200,SELL
NVDA,241121,70317,144.15,100,SELL
NVDA,241121,70335,144.14,675,SELL
NVDA,241121,70336,144.14,108,SELL
AAPL,241121,70344,229.35,200,SELL
AAPL,241121,70344,229.35,100,SELL
AAPL,241121,70344,229.35,102,SELL
NVDA,241121,70355,144.29,100,SELL
AAPL,241121,70400,229.35,103,SELL
AAPL,241121,70400,229.35,100,SELL
NVDA,241121,70424,144.32,150,SELL
NVDA,241121,70426,144.25,250,SELL
NVDA,241121,70444,144.39,370,BUY
NVDA,241121,70444,144.39,100,SELL
NVDA,241121,70510,144.42,177,SELL
NVDA,241121,70512,144.4,251,SELL
NVDA,241121,70513,144.36,136,SELL
NVDA,241121,70547,144.38,120,SELL
NVDA,241121,70612,144.39,474,BUY
NVDA,241121,70649,144.4,400,BUY
TSLA,241121,70659,341.3,200,SELL
NVDA,241121,70724,144.35,100,SELL
NVDA,241121,70746,144.12,100,SELL
NVDA,241121,70746,144.12,100,SELL
NVDA,241121,70746,144.12,100,SELL
NVDA,241121,70746,144.11,100,SELL
NVDA,241121,70746,144.1,400,SELL
NVDA,241121,70746,144.1,100,SELL
NVDA,241121,70750,144.14,100,SELL
NVDA,241121,70850,144.31,385,BUY
NVDA,241121,70928,144.33,300,BUY
NVDA,241121,70933,144.32,100,SELL
NVDA,241121,70933,144.32,100,SELL
NVDA,241121,70944,144.31,300,SELL
NVDA,241121,70945,144.31,100,SELL
NVDA,241121,70945,144.31,100,SELL
NVDA,241121,70953,144.35,240,BUY
NVDA,241121,70953,144.35,240,SELL
NVDA,241121,70953,144.35,250,SELL
NVDA,241121,70953,144.35,250,SELL
NVDA,241121,70953,144.35,250,SELL
NVDA,241121,70953,144.35,250,SELL
NVDA,241121,70953,144.35,250,SELL
NVDA,241121,70953,144.35,250,SELL
